City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking,Basement,Exterior,Fireplace,Heating,Flooring,Roof,Waterfront,Sewer,Pool,Garden,Balcony
Unity,SK,52.4479812,-109.1597895,219900.0,4.0,2.0,0.21,Single Family,1268.0,Yes,Yes,Finished,Brick,Yes,forced air,,asphalt,No,none,No,No,No
Calgary,AB,50.8773565,-113.9987305,959000.0,4.0,4.0,0.09,Single Family,2121.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Rural Camrose County,AB,52.96357951,-112.83290144,429000.0,3.0,3.0,5.09,Single Family,1354.0,Yes,Yes,Finished,,Yes,forced air,carpet,asphalt,No,septic,No,Yes,No
Blackfalds,AB,52.377077,-113.786785,439900.0,3.0,3.0,0.13,Single Family,1275.0,No,Yes,Finished,,Yes,forced air,vinyl,asphalt,No,municipal,No,Yes,No
Fort McMurray,AB,56.708287,-111.377877,629900.0,4.0,3.0,0.11,Single Family,1522.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Calgary,AB,50.88200243,-113.97818416,369900.0,2.0,2.0,0.0,Condo,867.0,Yes,Yes,,,No,radiant,carpet,,No,none,No,No,Yes
Tumbler Ridge,BC,55.133109,-120.997551,63735.0,3.0,2.0,0.0,Condo,1512.0,No,No,,,No,forced air,,,No,municipal,No,No,No
Burnaby,BC,49.2804279,-122.982896,629000.0,1.0,1.0,0.0,Condo,630.0,Yes,Yes,,,No,,,,No,none,No,No,No
Radium Hot Springs,BC,50.6182247,-116.0722724,299900.0,2.0,2.0,0.0,Condo,1184.0,No,Yes,,Concrete,Yes,radiant,other,,No,municipal,No,No,No
Enderby,BC,50.6077957,-118.7278137,1195000.0,5.0,5.0,0.35,Single Family,3681.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8439865,-119.4901047,685000.0,2.0,2.0,0.0,Condo,690.0,Yes,Yes,,,No,forced air,,,No,municipal,No,No,No
Kelowna,BC,49.9867512,-119.4436974,1449900.0,4.0,4.0,0.12,Single Family,4007.0,Yes,No,Finished,Concrete,Yes,forced air,vinyl,other,No,municipal,No,No,No
Kelowna,BC,49.9132643,-119.4523249,878900.0,3.0,2.0,0.16,Single Family,1658.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,tile,No,municipal,No,No,No
Calgary,AB,51.1119938,-114.0789742,348000.0,2.0,2.0,0.0,Condo,840.0,Yes,Yes,,,Yes,radiant,vinyl,,No,none,No,No,No
Calgary,AB,50.952985,-114.0867304,249989.0,2.0,1.0,0.0,Condo,813.0,No,Yes,,,Yes,boiler,tile,,No,none,No,No,No
Kelowna,BC,49.8961202,-119.4343345,1399000.0,5.0,4.0,0.21,Single Family,3968.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Vancouver,BC,49.2156531,-123.1163426,928000.0,2.0,2.0,0.0,Condo,884.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Quesnel,BC,52.9706562,-122.463147,379900.0,4.0,2.0,0.86,Single Family,2054.0,Yes,Yes,Finished,,Yes,forced air,,,No,none,No,No,No
Powell River,BC,49.7754741,-124.4411223,1595000.0,4.0,2.0,0.5,Single Family,3228.0,Yes,Yes,,,Yes,,,,No,none,No,No,No
Vancouver,BC,49.2156531,-123.1163426,918000.0,2.0,2.0,0.0,Condo,815.0,Yes,Yes,,,No,heat pump,,,No,none,No,No,No
Fort St. John,BC,56.2481153,-120.8267062,159000.0,2.0,1.0,0.0,Condo/Townhome,1520.0,No,No,,Vinyl,No,forced air,,,No,none,No,No,No
Lake Country,BC,50.051504,-119.40825,2189000.0,3.0,3.0,0.2,Single Family,2405.0,No,No,,Brick,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Sicamous,BC,50.827083,-118.979282,230000.0,3.0,2.0,0.0,Single Family,1632.0,No,No,,Vinyl,Yes,forced air,vinyl,asphalt,No,municipal,No,No,No
Sorrento,BC,50.8837117,-119.4912486,250000.0,2.0,1.0,0.0,Single Family,840.0,No,No,,,Yes,,,metal,No,municipal,No,No,No
Calgary,AB,51.0689134,-114.0681963,599800.0,4.0,2.0,0.07,Duplex,1028.0,Yes,No,Finished,,No,forced air,wood,tar,No,none,No,No,No
Powell River,BC,49.8489702,-124.5159507,509900.0,2.0,2.0,0.0,Condo,1342.0,No,No,,,Yes,forced air,,,No,none,No,No,No
Port McNeill,BC,50.581669,-127.063461,649000.0,4.0,3.0,0.18,Single Family,2677.0,Yes,Yes,Finished,,No,heat pump,,asphalt,No,municipal,No,No,Yes
Fort St. John,BC,56.2405884,-120.7624099,469900.0,3.0,2.0,5.25,Single Family,1339.0,Yes,No,,Vinyl,Yes,forced air,,asphalt,No,none,No,No,No
Vanderhoof,BC,54.0172757027335,-124.000000384656,208500.0,3.0,1.0,0.16,Single Family,1440.0,No,No,,Vinyl,Yes,forced air,,asphalt,No,none,No,No,No
Prince George,BC,53.8692025,-122.7872884,799800.0,5.0,3.0,0.17,Single Family,2920.0,Yes,No,Finished,,Yes,forced air,,asphalt,No,none,No,No,No
Summerland,BC,49.6233711,-119.6895981,1999000.0,5.0,4.0,0.32,Single Family,3370.0,Yes,No,Finished,,Yes,,,,No,municipal,No,No,No
Coldstream,BC,50.2368622,-119.2618637,2399000.0,3.0,4.0,0.8,Single Family,3446.0,Yes,No,Finished,Concrete,Yes,boiler,wood,other,No,municipal,No,No,No
West Kelowna,BC,49.8392483,-119.6176327,624900.0,2.0,2.0,0.1,Single Family,1597.0,Yes,No,No basement,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Kelowna,BC,49.7961636,-119.5124315,1199997.0,4.0,4.0,0.13,Single Family,2908.0,Yes,No,Finished,Brick,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Calgary,AB,50.926859,-114.0244847,589900.0,3.0,3.0,0.0,Single Family,1510.0,Yes,No,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Lake Country,BC,50.0211862,-119.4356592,1450000.0,5.0,3.0,0.24,Single Family,2992.0,Yes,No,Finished,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Salmon Arm,BC,50.7044057,-119.2843895,699900.0,2.0,2.0,0.0,Condo,1651.0,Yes,Yes,,Concrete,Yes,forced air,tile,,No,municipal,No,No,No
Lake Country,BC,50.0428567,-119.4105876,997000.0,3.0,2.0,0.44,Single Family,1478.0,Yes,No,,Vinyl,No,,tile,asphalt,No,septic,No,No,No
Kamloops,BC,50.6861801,-120.2986298,394000.0,2.0,2.0,0.0,Single Family,754.0,No,Yes,,,Yes,forced air,carpet,,No,municipal,No,No,No
Wilkie,SK,52.4090802,-108.7065945,162000.0,3.0,2.0,0.2,Single Family,1133.0,Yes,Yes,Finished,Vinyl,Yes,forced air,,metal,No,none,No,No,No
Calgary,AB,51.0217606,-114.1507603,1050000.0,5.0,4.0,0.07,Duplex,1903.0,Yes,No,Finished,,Yes,forced air,wood,asphalt,No,none,No,Yes,No
Prince George,BC,53.8557387,-122.7524835,474900.0,4.0,2.0,0.0,Condo,1733.0,Yes,No,,Vinyl,No,forced air,,,No,none,No,No,No
103 Mile House,BC,51.683171157413,-121.30769794418,359000.0,3.0,2.0,0.75,Single Family,1421.0,No,No,No basement,,No,forced air,,metal,No,none,No,No,No
Quesnel,BC,53.0404754,-122.5627618,649900.0,4.0,3.0,1.85,Single Family,2520.0,Yes,No,Finished,Vinyl,Yes,forced air,,asphalt,No,none,No,No,No
Quesnel,BC,52.9535584,-122.3974878,799900.0,4.0,4.0,5.33,Single Family,2894.0,Yes,Yes,Finished,Vinyl,Yes,forced air,,asphalt,No,none,No,No,No
Vernon,BC,50.2659493,-119.2820872,397500.0,2.0,2.0,0.0,Condo,1061.0,No,Yes,,,Yes,radiant,carpet,,No,municipal,No,No,No
Kelowna,BC,49.8439865,-119.4901047,724800.0,2.0,2.0,0.0,Condo,785.0,No,Yes,,Concrete,No,forced air,,,No,none,No,No,No
Lake Country,BC,50.0326775,-119.4413178,2149900.0,5.0,6.0,1.54,Single Family,4689.0,Yes,No,Finished,Composite,Yes,,wood,asphalt,No,septic,No,No,No
Vernon,BC,50.2573665,-119.2758587,484900.0,3.0,2.0,0.06,Single Family,1173.0,No,No,,Concrete,No,forced air,,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8756666,-119.4816453,469900.0,2.0,2.0,0.0,Condo,1138.0,No,Yes,,Vinyl,Yes,radiant,wood,,No,municipal,No,No,No
Kelowna,BC,50.1203014,-119.5154751,614900.0,3.0,2.0,0.07,Single Family,1001.0,Yes,No,No basement,Composite,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Port Hardy,BC,50.7198697,-127.5106946,489000.0,4.0,3.0,0.14,Single Family,2456.0,Yes,No,,,Yes,radiant,carpet,asphalt,No,municipal,No,Yes,Yes
Quesnel,BC,53.0267153722602,-122.638382773016,199900.0,2.0,2.0,4.99,Single Family,924.0,No,No,,Vinyl,No,radiant,,metal,No,none,No,No,No
Prince George,BC,53.9370616,-122.802026,559000.0,3.0,3.0,0.22,Single Family,2346.0,Yes,Yes,Finished,,Yes,forced air,,asphalt,No,none,No,No,No
Saskatoon,SK,52.120389,-106.563704,749900.0,2.0,2.0,0.14,Single Family,1461.0,Yes,No,Finished,Composite,Yes,forced air,,asphalt,No,none,No,No,No
Cherryville,BC,50.2496529,-118.7080841,749900.0,3.0,2.0,1.0,Single Family,1375.0,Yes,Yes,Finished,Vinyl,Yes,heat pump,vinyl,metal,No,septic,No,No,No
Kamloops,BC,50.7056236,-120.3791122,899900.0,6.0,4.0,0.27,Single Family,3454.0,Yes,Yes,Finished,Vinyl,No,forced air,other,asphalt,No,municipal,No,No,No
Kelowna,BC,49.8754748,-119.4056498,945000.0,5.0,3.0,0.23,Single Family,2524.0,Yes,No,Finished,,Yes,forced air,tile,asphalt,No,municipal,No,No,No
Kelowna,BC,49.929558,-119.4153851,3150000.0,4.0,4.0,2.1,Single Family,3648.0,Yes,No,Finished,Composite,Yes,forced air,,asphalt,No,septic,No,No,No
Penticton,BC,49.5015869,-119.5903931,499900.0,1.0,1.0,0.0,Condo,1069.0,No,Yes,,Concrete,Yes,forced air,laminate,,No,municipal,No,No,No
Kelowna,BC,49.9040265,-119.4832321,1700000.0,3.0,3.0,0.4,Single Family,2906.0,Yes,No,,Concrete,Yes,forced air,wood,asphalt,No,municipal,No,No,No
West Kelowna,BC,49.840458,-119.605046,679000.0,2.0,2.0,0.0,Single Family,1447.0,Yes,No,No basement,Composite,No,forced air,wood,asphalt,No,municipal,No,No,No
Revelstoke,BC,50.9801064,-118.1714776,1050000.0,6.0,3.0,0.35,Single Family,2662.0,Yes,Yes,Finished,Concrete,Yes,radiant,laminate,asphalt,No,septic,No,No,No
Prince George,BC,53.9192413,-122.7588239,499900.0,4.0,2.0,0.15,Single Family,1913.0,Yes,No,Finished,,Yes,forced air,,flat,No,none,No,No,No
Prince George,BC,53.8527596,-122.7509443,529900.0,3.0,3.0,0.0,Condo,1612.0,Yes,No,,Vinyl,No,forced air,,,No,none,No,No,No
Quesnel,BC,52.9750497,-122.5065893,329900.0,4.0,2.0,0.09,MultiFamily,1740.0,No,No,Finished,Vinyl,No,forced air,,asphalt,No,none,No,No,No
Quesnel,BC,52.8751053,-122.4096502,1449900.0,3.0,2.0,135.66,Single Family,1920.0,Yes,Yes,Partial,Concrete,Yes,radiant,,asphalt,No,none,No,No,No
Quesnel,BC,52.9750065,-122.4416629,475000.0,3.0,2.0,2.2,Single Family,1572.0,Yes,Yes,Finished,Concrete,No,forced air,,metal,No,none,No,No,No
Quesnel,BC,52.9798047,-122.4920246,459900.0,6.0,2.0,0.18,Single Family,2601.0,Yes,No,Partial,Concrete,No,forced air,,metal,No,none,No,No,No
Kelowna,BC,49.8793366,-119.4471496,724900.0,2.0,2.0,0.0,Condo/Townhome,1475.0,No,Yes,,Brick,Yes,forced air,carpet,,No,municipal,No,No,No
Canal Flats,BC,50.1555367,-115.8159485,214900.0,2.0,1.0,0.0,Single Family,717.0,No,Yes,,,No,forced air,,,No,municipal,No,No,No
Kelowna,BC,49.8602288,-119.4861502,349900.0,1.0,1.0,0.0,Condo,619.0,No,Yes,,Brick,No,radiant,,,No,municipal,No,No,No
Kamloops,BC,50.7304115,-120.0393372,920000.0,3.0,3.0,2.0,Single Family,2033.0,Yes,Yes,Partial,,Yes,radiant,other,asphalt,No,none,No,No,No
Powell River,BC,49.8336983,-124.5161591,779000.0,3.0,2.0,0.27,Single Family,2160.0,Yes,No,,,No,,,,No,none,No,No,No
Kamloops,BC,50.662455,-120.2571423,649900.0,4.0,3.0,0.0,Condo,2274.0,Yes,No,,,Yes,forced air,,,No,municipal,No,No,No
Kamloops,BC,50.6788982,-120.2632361,499900.0,3.0,2.0,0.0,Condo,1334.0,No,Yes,,Concrete,Yes,forced air,other,,No,municipal,No,No,No
Sun Peaks,BC,50.879835,-119.894147,2099000.0,4.0,4.0,0.19,Single Family,3483.0,Yes,No,Finished,Composite,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Coldstream,BC,50.2375495,-119.2663018,419500.0,2.0,1.0,0.17,Single Family,1245.0,No,No,,,Yes,heat pump,laminate,metal,No,municipal,No,No,No
Surrey,BC,49.1957108,-122.8563207,439000.0,1.0,1.0,0.0,Condo,532.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Kamloops,BC,50.6618767,-120.2772762,1089000.0,5.0,4.0,0.12,Single Family,3381.0,Yes,No,Finished,,Yes,forced air,other,asphalt,No,municipal,No,No,No
Burns Lake,BC,54.2505096,-125.7574575,284000.0,3.0,1.0,5.01,Single Family,1460.0,No,No,,Wood,No,forced air,,metal,No,none,No,No,No
Powell River,BC,49.8179348,-124.5153997,1049900.0,5.0,4.0,0.18,Single Family,3600.0,No,No,,,Yes,forced air,,,No,none,No,No,No
Revelstoke,BC,50.9765854,-118.1731491,1150000.0,3.0,3.0,0.0,Condo,1168.0,No,Yes,,,No,forced air,,,No,municipal,No,No,No
Nelson,BC,49.6191101,-116.9969025,179000.0,2.0,2.0,0.0,Single Family,935.0,Yes,Yes,,,No,forced air,carpet,asphalt,No,septic,No,No,No
Penticton,BC,49.4887282,-119.5722698,795000.0,3.0,3.0,0.17,Single Family,1874.0,No,No,Partial,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Daysland,AB,52.865591,-112.262627,229000.0,3.0,1.0,0.28,Single Family,1284.0,Yes,No,Partial,,No,forced air,carpet,asphalt,No,none,No,No,No
Kelowna,BC,49.8801918,-119.4116669,869000.0,4.0,3.0,0.14,Single Family,2357.0,Yes,No,Finished,Vinyl,No,forced air,carpet,asphalt,No,municipal,No,No,No
Rural Cypress County,AB,50.02967203,-110.2720106,798900.0,3.0,3.0,159.01,Single Family,1242.0,Yes,Yes,Finished,,No,forced air,laminate,metal,No,septic,No,Yes,No
West Kelowna,BC,49.822567,-119.5908813,674900.0,2.0,2.0,0.0,Condo,1120.0,No,Yes,,Concrete,No,heat pump,carpet,,No,municipal,No,No,No
Savary Island,BC,49.9391594,-124.7791672,969000.0,3.0,2.0,0.48,Single Family,2114.0,No,No,,,No,,,,No,none,No,No,No
Calgary,AB,51.078821,-113.925593,174500.0,2.0,1.0,0.0,Mobile Home,996.0,No,Yes,,,No,,vinyl,asphalt,No,none,No,No,No
Langley,BC,49.1634563,-122.6228233,999999.0,3.0,3.0,0.06,Single Family,1808.0,Yes,Yes,,,Yes,forced air,,,No,none,No,No,No
Canmore,AB,51.085193,-115.341018,660450.0,1.0,1.0,0.0,Condo,535.0,No,Yes,,,Yes,,carpet,,No,none,No,No,No
Calgary,AB,51.0629709,-114.0405739,959900.0,5.0,4.0,0.06,Duplex,1704.0,Yes,No,Finished,,Yes,forced air,wood,asphalt,No,none,No,Yes,No
Quesnel,BC,52.968995,-122.5127094,125900.0,2.0,1.0,0.0,Condo,826.0,No,No,,,No,radiant,,,No,none,No,No,No
West Kelowna,BC,49.8483582,-119.583313,2999000.0,3.0,4.0,0.37,Single Family,4280.0,Yes,No,,Concrete,No,forced air,wood,asphalt,No,municipal,No,No,No
Kamloops,BC,50.6534538,-119.9772034,1699900.0,5.0,5.0,2.33,Single Family,4000.0,Yes,Yes,,Concrete,Yes,forced air,,other,No,septic,No,No,No
Barriere,BC,51.1905975,-120.1376419,595000.0,3.0,2.0,0.38,Single Family,1340.0,Yes,No,No basement,Composite,No,forced air,other,asphalt,No,municipal,No,No,No
Vancouver,BC,49.2776305,-123.1229582,729000.0,1.0,1.0,0.0,Condo,708.0,Yes,Yes,,,No,radiant,,,No,none,No,No,No
Spallumcheen,BC,50.3419734,-119.2715559,1289000.0,3.0,3.0,2.01,Single Family,1933.0,Yes,No,No basement,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
Big White,BC,49.7254486,-118.9283981,798000.0,2.0,2.0,0.0,Condo,1139.0,Yes,No,,,Yes,,,,No,municipal,No,No,No
Merritt,BC,50.115327,-120.787113,550000.0,4.0,2.0,0.55,Single Family,2080.0,Yes,No,,,No,forced air,,,No,municipal,No,No,No
Calgary,AB,51.1667425,-113.9485929,489000.0,3.0,3.0,0.04,Townhome,1575.0,Yes,No,,,No,forced air,carpet,asphalt,No,none,No,No,Yes
Calgary,AB,51.0167732,-114.1290326,359900.0,1.0,1.0,0.0,Condo,604.0,No,Yes,,,No,,carpet,,No,none,No,No,Yes
Castor,AB,52.2224145,-111.9007374,70000.0,2.0,1.0,0.16,Single Family,762.0,No,Yes,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Calgary,AB,50.87541586,-114.00969762,350000.0,3.0,2.0,0.0,Condo,838.0,No,Yes,,,No,radiant,laminate,,No,none,No,No,No
Quesnel,BC,52.968995,-122.5127094,146900.0,2.0,1.0,0.0,Condo,820.0,No,No,,,No,radiant,,,No,none,No,No,No
Williams Lake,BC,52.1436419,-122.1477608,424000.0,4.0,2.0,0.19,Single Family,1625.0,No,No,Finished,Composite,No,forced air,,asphalt,No,none,No,No,No
Galahad,AB,52.512543,-111.925577,69000.0,1.0,1.0,0.2,Single Family,2624.0,No,Yes,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
Salmon Arm,BC,50.6964384,-119.2654865,789000.0,4.0,3.0,0.3,Single Family,2448.0,Yes,No,,Brick,Yes,forced air,wood,asphalt,No,municipal,No,No,No
Calgary,AB,51.05609765,-114.08647843,399900.0,2.0,1.0,0.0,Condo,570.0,Yes,Yes,,,No,forced air,vinyl,,No,none,No,No,Yes
Kelowna,BC,49.8560212,-119.4909539,669000.0,1.0,2.0,0.0,Condo,675.0,Yes,Yes,,,No,forced air,,,No,municipal,No,No,No
Blind Bay,BC,50.8617807,-119.3622412,839900.0,3.0,3.0,0.32,Single Family,3108.0,Yes,No,Partial,Concrete,Yes,forced air,carpet,asphalt,No,municipal,No,No,No
Smithers,BC,54.7905563564366,-127.163916971164,925000.0,4.0,4.0,0.24,Single Family,2893.0,Yes,No,Partial,,Yes,forced air,,fiberglass,No,none,No,No,No
Kelowna,BC,49.8904456,-119.4728126,999900.0,5.0,3.0,0.19,Single Family,2649.0,Yes,No,,Concrete,Yes,radiant,,asphalt,No,municipal,No,No,No
Radium Hot Springs,BC,50.6175308,-116.07267,489000.0,3.0,3.0,0.0,Single Family,1407.0,Yes,No,,Composite,Yes,no heat,other,asphalt,No,municipal,No,No,No
Calgary,AB,50.8746077,-114.08158657,779900.0,4.0,4.0,0.07,Single Family,1946.0,Yes,No,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Prince George,BC,53.894242,-122.7536435,599900.0,8.0,6.0,0.16,MultiFamily,4070.0,Yes,Yes,,Concrete,No,,,asphalt,No,none,No,No,No
Prince George,BC,53.8534456,-122.7700268,359900.0,3.0,1.0,0.16,Single Family,1080.0,No,Yes,Finished,Wood,No,forced air,,asphalt,No,none,No,No,No
West Kelowna,BC,49.8387495,-119.6151165,498000.0,2.0,2.0,0.0,Single Family,1213.0,Yes,No,,Concrete,No,forced air,carpet,asphalt,No,municipal,No,No,No
Appledale,BC,49.6467552,-117.5273895,789900.0,5.0,3.0,2.85,Single Family,4144.0,No,No,Finished,Wood,Yes,radiant,wood,metal,No,septic,No,No,No
Heisler,AB,52.67123,-112.226864,189000.0,3.0,1.0,0.22,Single Family,1232.0,Yes,No,Finished,,No,forced air,carpet,asphalt,No,none,No,No,No
Penticton,BC,49.498193,-119.6104645,257000.0,3.0,2.0,0.0,Single Family,1056.0,Yes,Yes,No basement,Metal,No,forced air,,metal,No,municipal,No,No,No
Vernon,BC,50.2501791,-119.3331621,1295000.0,4.0,3.0,3.25,Single Family,2139.0,Yes,No,Finished,Vinyl,Yes,forced air,carpet,asphalt,No,septic,No,No,No
New Westminster,BC,49.219555,-122.916785,1628000.0,4.0,4.0,0.0,Duplex,2113.0,Yes,Yes,,,Yes,radiant,,,No,none,No,No,No
Courtenay,BC,49.6700134,-125.0102319,2100000.0,4.0,4.0,2.9,Single Family,2286.0,Yes,No,No basement,,Yes,forced air,wood,fiberglass,No,municipal,No,Yes,No
Airdrie,AB,51.2622841,-114.0264284,560000.0,3.0,3.0,0.06,Single Family,1667.0,Yes,No,Finished,,Yes,forced air,carpet,asphalt,No,none,No,No,No
